id,conversation_id,candidate_user_name,date,tweet,pol_party,targetted_comment
1321600980018892800,1321600980018892800,RepAdams,2020-10-28 18:53:22,Oh boohoo So the 1st amendment is only appropriate for the but not for thee?,Democrat,N
1321600940714139649,1321486872057683973,RepAdams,2020-10-28 18:53:13,Because he is a dick.,Democrat,N
1321600905955913728,1321576037461970945,RepAdams,2020-10-28 18:53:04,Thank you for all you do.,Democrat,N
1321600868030980097,1321486872057683973,RepAdams,2020-10-28 18:52:55,Stop saying dumb shit lies... disinformation especially about the Trump virus,Democrat,N
1321600851752980487,1321600851752980487,RepAdams,2020-10-28 18:52:51,"Hi, you're garbage. https://t.co/P1y1WJJgbJ",Democrat,N
1321600833394561025,1318681301562630144,RepAdams,2020-10-28 18:52:47,They better,Democrat,N
1321600811521216512,1321514295516082186,RepAdams,2020-10-28 18:52:42,Free speech?,Democrat,N
1321600777207615488,1321600777207615488,RepAdams,2020-10-28 18:52:34,"Oh hey traitor who blocked election security funding &amp; failed to even pretend do sworn Constitutional duty as a Senator during impeachment of a sitting President, allowing the Trump stain to continue to spread to the detriment of all America #VoteBlueDownBallot",Democrat,N
1321600756579880960,1321486872057683973,RepAdams,2020-10-28 18:52:29,Since they censor lies I’m not surprised,Democrat,N
1321600743288295425,1321600743288295425,RepAdams,2020-10-28 18:52:26,"This kind of unkind thing,",Democrat,N
1321600740033376261,1321600740033376261,RepAdams,2020-10-28 18:52:25,Should criticisms of Senator warrant someone out of work? #FreshlyCancelled ❌ Google Engineer ❌ 🍻,Democrat,N
1321600734970990593,1321538579017965569,RepAdams,2020-10-28 18:52:24,She's a part of the problem. She works on the Hill with the other Republicans who take from the poor and give all yo the Rich.,Democrat,N
1321600733582643210,1321486872057683973,RepAdams,2020-10-28 18:52:23,Maybe the “president” should stop lying about Covid. People are dying because Trump continues to lie during a pandemic. Vote for Joe Biden!,Democrat,N
